model,cv_accuracy_mean,cv_accuracy_std,test_accuracy,test_macro_f1,test_weighted_f1
logistic_regression,0.6097560975609757,0.06218316479991202,0.5454545454545454,0.45826839826839827,0.4885478158205431
linear_svc,0.6158536585365855,0.04683625456017445,0.5454545454545454,0.42857142857142855,0.4783549783549783
multinomial_nb,0.2073170731707317,0.02112257082401069,0.18181818181818182,0.08468468468468468,0.07125307125307125
dummy_most_frequent,0.15853658536585366,0.012195121951219523,0.15151515151515152,0.017543859649122806,0.03987240829346092
