album,rank,feature,weight
LATARNIE WSZĘDZIE DAWNO ZGASŁY,15,miasto,0.17825923893520493
Marmur,1,szcześniak,0.3015062314658222
Marmur,2,panie szcześniak,0.2945023283446307
Marmur,3,ciszy,0.2664863127334325
Marmur,4,długie,0.24596984539657174
Marmur,5,hotelu,0.24340332052056407
Marmur,6,pan,0.2402497133939364
Marmur,7,hemingway rumak,0.2394575042638675
Marmur,8,ciosy,0.2144013790859999
Marmur,9,rumak,0.2121561621569149
Marmur,10,pokoju,0.2011276833708246
Marmur,11,mówił,0.20011808389223762
Marmur,12,pasażer,0.1985129571373961
Marmur,13,pan co,0.19623365726429293
Marmur,14,wie,0.19392322087974534
Marmur,15,panu,0.18638723963520465
"POCZTÓWKA Z WWA, LATO '19",1,uh,0.3747176789474444
"POCZTÓWKA Z WWA, LATO '19",2,na zdrowie,0.3317973888088369
"POCZTÓWKA Z WWA, LATO '19",3,pocztówka,0.33136286279736377
"POCZTÓWKA Z WWA, LATO '19",4,warszawy,0.31249322955239706
"POCZTÓWKA Z WWA, LATO '19",5,pocztówka warszawy,0.3023709231631332
"POCZTÓWKA Z WWA, LATO '19",6,2k19,0.27773257159355347
"POCZTÓWKA Z WWA, LATO '19",7,zdrowie,0.2614295422086495
"POCZTÓWKA Z WWA, LATO '19",8,2k19 na,0.24110972172538997
"POCZTÓWKA Z WWA, LATO '19",9,lato 2k19,0.24110972172538997
"POCZTÓWKA Z WWA, LATO '19",10,rosalie,0.23246404527697645
"POCZTÓWKA Z WWA, LATO '19",11,ayy,0.22864309275204933
"POCZTÓWKA Z WWA, LATO '19",12,wannie,0.21115786905533188
"POCZTÓWKA Z WWA, LATO '19",13,warszawy lato,0.20809555710244562
"POCZTÓWKA Z WWA, LATO '19",14,dawid,0.20153133577952187
"POCZTÓWKA Z WWA, LATO '19",15,rada,0.19759681011380498
"SOMA 0,5 mg",1,quebonafide,0.5749664911766724
"SOMA 0,5 mg",2,hemingway quebonafide,0.2875409709211442
"SOMA 0,5 mg",3,woah,0.2831520768900188
"SOMA 0,5 mg",4,zwrotka quebonafide,0.27313478076841385
"SOMA 0,5 mg",5,refren quebonafide,0.2682581365962863
"SOMA 0,5 mg",6,giro,0.26756468495341884
"SOMA 0,5 mg",7,quebonafide taco,0.26631875312270065
"SOMA 0,5 mg",8,więcej łez,0.21467412322925536
"SOMA 0,5 mg",9,kuba,0.21394265722748657
"SOMA 0,5 mg",10,nigdy więcej,0.20691271227839506
"SOMA 0,5 mg",11,leci,0.18013599947998252
