experiment,model,tfidf_min_df,tfidf_max_features,tfidf_ngram_range,tfidf_sublinear_tf,cv_accuracy_mean,cv_accuracy_std,test_accuracy,test_macro_f1,test_weighted_f1
unigrams_only,logistic_regression,2,5000,"(1, 1)",True,0.628048780487805,0.05280642706002675,0.6060606060606061,0.4988888888888889,0.548989898989899
no_sublinear_tf,logistic_regression,2,5000,"(1, 2)",False,0.5426829268292683,0.060669965677232915,0.5757575757575758,0.49047619047619045,0.5400432900432901
default,logistic_regression,2,5000,"(1, 2)",True,0.6097560975609757,0.06218316479991202,0.5454545454545454,0.45826839826839827,0.4885478158205431
max_features_3000,logistic_regression,2,3000,"(1, 2)",True,0.5975609756097562,0.06567274155042079,0.5454545454545454,0.4577922077922078,0.4878984651711924
min_df_1,logistic_regression,1,5000,"(1, 2)",True,0.5853658536585367,0.07110916944933295,0.5454545454545454,0.4355699855699856,0.4777974550701823
