model,cv_accuracy_mean,cv_accuracy_std,test_accuracy,test_macro_f1,test_weighted_f1
logistic_regression,0.6158536585365855,0.06538905667538787,0.5757575757575758,0.4711111111111111,0.506060606060606
linear_svc,0.6219512195121952,0.05588506945068098,0.5454545454545454,0.43253968253968256,0.4736652236652236
multinomial_nb,0.2073170731707317,0.02112257082401069,0.18181818181818182,0.08468468468468468,0.07125307125307125
dummy_most_frequent,0.15853658536585366,0.012195121951219523,0.15151515151515152,0.017543859649122806,0.03987240829346092
